Name,Age,Occupation,Salary,Car Model,Home State,Location,Children
Bob,55,Police-Officer,357279,TRAILBLAZER 9BYC,Texas,"(47.6062, -122.3321)",2
Max,24,Software-Developer,204996,EQUINOX EV C223,Texas,"(41.8781, -87.6298)",4
Frank,52,Nurse,241789,CANYON 31XGN,New-Mexico,"(33.4484, -112.0740)",5
Levi,36,Designer,147567,LCF 6500XD I-700N,Washington,"(29.7604, -95.3698)",9
Max,33,Chef,416261,SILVERADO T1ECH HD DBL,Massachusetts,"(40.7128, -74.0060)",8
Bob,49,Lawyer,168692,YUKON XL T1YGF,New-Hampshire,"(40.7128, -74.0060)",3
Bailie,31,Artist,193368,TAHOE T1UCF,New-Mexico,"(47.6062, -122.3321)",1
Mattie,34,Driver,225511,SILVERADO T1RCH HD REG,Arizona,"(47.6062, -122.3321)",9
Garrett,45,Driver,275399,BOLT C110,Michigan,"(39.7392, -104.9903)",6
Garrett,52,Artist,162837,ESCALADE ESV T1YLF,Indiana,"(25.7617, -80.1918)",0
Mattie,27,Chef,222068,ENCORE G1UB,Maine,"(42.3601, -71.0589)",9
Alice,24,Lieutenant,352930,SILVERADO T1RCH HD REG,Indiana,"(37.7749, -122.4194)",0
David,51,Data-Engineer,202666,SIERRA T1CGF LD CREW,Arizona,"(47.6062, -122.3321)",9
Jack,22,Nurse,62839,LYRIQ L233,Oregon,"(40.7128, -74.0060)",8
Mattie,38,Artist,49163,CT5 A2LL,Indiana,"(37.7749, -122.4194)",4
Grace,54,Data-Scientist,404645,SILVERADO T1RCF LD REG,Michigan,"(47.6062, -122.3321)",0
Jack,46,Data-Engineer,272599,SUBURBAN T1YCF,New-York,"(34.0522, -118.2437)",7
Levi,26,Artist,430002,SILVERADO T1CCH HD CREW,Alaska,"(25.7617, -80.1918)",2
Bailie,51,Diesil-Mechanic,431398,HUM BEV BT1UG,Wyoming,"(47.6062, -122.3321)",9
Levi,50,Lieutenant,149207,SIERRA T1CGH HD CREW,Montana,"(39.7392, -104.9903)",2
Garrett,54,Software-Developer,201292,COLORADO 31CC2,Montana,"(42.3601, -71.0589)",8
Eva,54,Artist,244230,CT4 A2SL,Hawaii,"(34.0522, -118.2437)",1
Helen,37,Police-Officer,121487,SILVERADO T1RCH HD REG,Illinois,"(25.7617, -80.1918)",3
Helen,30,Data-Scientist,86048,EQUINOX D2UC,Montana,"(39.7392, -104.9903)",3
Charlie,43,Teacher,385749,ENVISTA 9BQB1,Arizona,"(25.7617, -80.1918)",2
Eva,26,Nurse,288585,XT4 E2UL,Maine,"(33.4484, -112.0740)",4
Jack,38,Teacher,391975,SILVERADO T1RCH HD REG,New-Hampshire,"(42.3601, -71.0589)",1
Max,42,Accountant,70170,COLORADO 31CC2,Illinois,"(42.3601, -71.0589)",9
Levi,39,Data-Engineer,432525,TRAX 9BQC1,New-York,"(29.7604, -95.3698)",2
Charlie,52,Mechanic,50057,SIERRA T1CGF LD CREW,New-Mexico,"(29.7604, -95.3698)",9
Grace,49,Artist,160785,TRAX 9BQC1,Arizona,"(25.7617, -80.1918)",9
Bob,56,Driver,324845,TRAILBLAZER 9BYC,New-Mexico,"(41.8781, -87.6298)",0
Max,26,Accountant,277649,BOLT EUV C121,Oregon,"(42.3601, -71.0589)",1
Grace,25,Accountant,250741,LCF 6500XD I-700N,Maine,"(34.0522, -118.2437)",4
Helen,48,Diesil-Mechanic,75997,SIERRA T1EGF LD DBL,Washington,"(39.7392, -104.9903)",7
David,35,Lawyer,302697,ENCLAVE C1YB,Montana,"(37.7749, -122.4194)",5
Alice,26,Data-Scientist,50372,LCF DSL-JP I-700N,Hawaii,"(39.7392, -104.9903)",6
Helen,54,Engineer,99403,PICKUP-E BEV BT1FG,Wyoming,"(39.7392, -104.9903)",2
Bob,50,Designer,411332,ESCALADE ESV T1YLF,New-Hampshire,"(40.7128, -74.0060)",9
Helen,26,Police-Officer,36602,ESCALADE ESV T1YLF,New-Hampshire,"(39.7392, -104.9903)",5
Levi,35,Teacher,149143,YUKON XL T1YGF,Illinois,"(29.7604, -95.3698)",7
Mattie,36,Nurse,392222,SAVANA VAN 610,Wyoming,"(34.0522, -118.2437)",0
Mattie,26,Doctor,92465,ESCALADE T1ULF,Alaska,"(39.7392, -104.9903)",4
Grace,20,Data-Engineer,305107,SPARK M2JC,Illinois,"(29.7604, -95.3698)",3
Jack,23,Artist,68586,SIERRA T1EGH HD DBL,Washington,"(34.0522, -118.2437)",0
Helen,54,Driver,113410,MALIBU E2SC,Wyoming,"(29.7604, -95.3698)",3
Eva,34,Chef,276600,XT6 C1TL,Washington,"(29.7604, -95.3698)",8
Frank,44,Designer,176795,ENVISTA 9BQB1,New-Jersey,"(29.7604, -95.3698)",8
Eva,42,Nurse,236143,SUBURBAN T1YCF,Michigan,"(47.6062, -122.3321)",1
Frank,22,Designer,44868,EQUINOX EV C223,Washington,"(25.7617, -80.1918)",7
Bailie,30,Accountant,397639,EQUINOX D2UC,New-Jersey,"(25.7617, -80.1918)",5
Grace,49,Doctor,386277,MALIBU E2SC,Texas,"(40.7128, -74.0060)",5
Grace,51,Engineer,267234,HUM BEV BT1UG,New-Mexico,"(41.8781, -87.6298)",8
Mattie,43,Nurse,324770,CAMARO A1BC COUPE,Texas,"(41.8781, -87.6298)",1
Jack,24,Diesil-Mechanic,75688,SIERRA T1RGF LD REG,New-York,"(34.0522, -118.2437)",5
Jack,59,Lieutenant,419999,BOLT EUV C121,Wyoming,"(42.3601, -71.0589)",9
David,29,Driver,344646,YUKON T1UGF,Montana,"(29.7604, -95.3698)",2
Max,49,Lawyer,187536,SILVERADO T1CCH HD CREW,Alaska,"(40.7128, -74.0060)",5
Eva,39,Designer,151028,CANYON 31XGN,Michigan,"(29.7604, -95.3698)",0
Grace,41,Engineer,85766,SIERRA T1RGH HD REG,Hawaii,"(37.7749, -122.4194)",5
Jack,53,Engineer,207977,CANYON 31XGN,Illinois,"(34.0522, -118.2437)",4
Bob,32,Teacher,150685,SIERRA T1RGH HD REG,New-Mexico,"(40.7128, -74.0060)",2
Levi,33,Teacher,273710,SILVERADO T1ECF LD DBL,Maine,"(29.7604, -95.3698)",4
David,47,Teacher,132853,EQUINOX EV C223,Illinois,"(29.7604, -95.3698)",4
Bob,43,Designer,398829,SILVERADO T1CCF LD CREW,New-Jersey,"(34.0522, -118.2437)",5
David,28,Police-Officer,395572,SIERRA T1RGF LD REG,Oregon,"(41.8781, -87.6298)",6
Max,21,Driver,391156,CANYON 31CG2,Texas,"(47.6062, -122.3321)",9
Helen,37,Designer,93560,COLORADO 31CC2,Hawaii,"(34.0522, -118.2437)",4
Grace,30,Chef,435269,CORVETTE Y200,New-Mexico,"(47.6062, -122.3321)",8
Eva,50,Lawyer,120108,SILVERADO T1ECH HD DBL,Washington,"(42.3601, -71.0589)",4
Bailie,34,Doctor,239561,BLAZER EV C234,Montana,"(40.7128, -74.0060)",3
Garrett,57,Nurse,177055,CELESTIQ L246,Indiana,"(34.0522, -118.2437)",2
Garrett,30,Engineer,166405,CANYON 31XGN,Maine,"(41.8781, -87.6298)",3
Ivy,51,Engineer,113857,XT6 C1TL,Indiana,"(41.8781, -87.6298)",3
David,57,Mechanic,379494,LCF 6500XD I-700N,New-Hampshire,"(37.7749, -122.4194)",0
Bob,28,Artist,346142,PICKUP-E BEV BT1FG,Michigan,"(40.7128, -74.0060)",2
Mattie,42,Data-Engineer,340731,ENCORE GX 9BUB,Indiana,"(37.7749, -122.4194)",8
Garrett,28,Nurse,434633,ENVISTA 9BQB1,Alaska,"(37.7749, -122.4194)",0
Max,44,Software-Developer,371050,XT4 E2UL,Washington,"(42.3601, -71.0589)",9
Helen,60,Data-Scientist,161074,MALIBU E2SC,Massachusetts,"(40.7128, -74.0060)",6
Frank,38,Accountant,377916,TRAVERSE C1YC2,New-Jersey,"(39.7392, -104.9903)",6
Helen,49,Artist,326550,YUKON XL T1YGF,Wyoming,"(40.7128, -74.0060)",1
Max,60,Designer,191136,SIERRA T1RGH HD REG,Alaska,"(25.7617, -80.1918)",0
Bailie,33,Data-Scientist,155553,SILVERADO T1ECF LD DBL,Washington,"(39.7392, -104.9903)",3
Jack,23,Driver,126704,CANYON 31CG2,Wyoming,"(39.7392, -104.9903)",4
Grace,58,Lawyer,368597,SILVERADO T1ECH HD DBL,Wyoming,"(34.0522, -118.2437)",3
Garrett,57,Accountant,379062,SAVANA VAN 610,Wyoming,"(42.3601, -71.0589)",6
Max,58,Doctor,63838,BOLT EUV C121,Illinois,"(39.7392, -104.9903)",9
Levi,43,Driver,340078,MALIBU E2SC,Maine,"(42.3601, -71.0589)",9
Helen,51,Lieutenant,310843,LCF 6500XD I-700N,Indiana,"(47.6062, -122.3321)",1
Grace,47,Software-Developer,219246,ENCORE G1UB,New-York,"(37.7749, -122.4194)",4
Grace,58,Engineer,194160,SILVERADO 4500/5500,New-Hampshire,"(47.6062, -122.3321)",2
Grace,25,Lieutenant,358452,PICKUP-E BEV BT1FG,Maine,"(40.7128, -74.0060)",0
David,21,Nurse,377815,EQUINOX D2UC,Texas,"(41.8781, -87.6298)",5
Mattie,27,Lieutenant,49575,SIERRA T1CGF LD CREW,New-Mexico,"(47.6062, -122.3321)",0
Max,46,Teacher,281715,SILVERADO 4500/5500,Alaska,"(39.7392, -104.9903)",0
Mattie,43,Accountant,398289,TERRAIN D2UG,Alaska,"(40.7128, -74.0060)",8
Eva,27,Data-Scientist,182762,ENCORE GX 9BUB,Oregon,"(29.7604, -95.3698)",5
Garrett,44,Lawyer,42209,SAVANA VAN 610,Alaska,"(41.8781, -87.6298)",6
Jack,39,Teacher,444614,CORVETTE Y200,Alaska,"(34.0522, -118.2437)",3
Grace,35,Software-Developer,267568,ENVISTA 9BQB1,Indiana,"(33.4484, -112.0740)",3
Helen,40,Police-Officer,340785,BLAZER C1UC,Indiana,"(40.7128, -74.0060)",1
David,39,Chef,199083,SIERRA T1EGH HD DBL,Oregon,"(25.7617, -80.1918)",8
Bob,22,Engineer,380278,XT6 C1TL,Maine,"(41.8781, -87.6298)",7
Jack,33,Engineer,250235,BOLT C110,Oregon,"(47.6062, -122.3321)",8
Bob,59,Nurse,441150,XT6 C1TL,New-Hampshire,"(47.6062, -122.3321)",3
Bob,50,Software-Developer,285821,XT6 C1TL,New-Jersey,"(33.4484, -112.0740)",3
Frank,20,Designer,431228,SILVERADO T1CCF LD CREW,New-York,"(42.3601, -71.0589)",9
Helen,55,Chef,284544,LCF 6500XD I-700N,Arizona,"(41.8781, -87.6298)",0
Garrett,53,Lawyer,251458,HUM BEV BT1UG,Alaska,"(40.7128, -74.0060)",1
David,36,Police-Officer,66569,LYRIQ L233,Hawaii,"(42.3601, -71.0589)",7
Levi,31,Engineer,310791,CANYON 31XGN,Hawaii,"(29.7604, -95.3698)",5
Alice,47,Chef,348369,SPARK M2JC,New-Mexico,"(37.7749, -122.4194)",9
Bailie,37,Data-Scientist,253578,SIERRA T1EGH HD DBL,New-Jersey,"(42.3601, -71.0589)",9
Charlie,60,Engineer,361568,SILVERADO T1CCH HD CREW,Michigan,"(37.7749, -122.4194)",5
Grace,56,Driver,267360,XT6 C1TL,Arizona,"(37.7749, -122.4194)",1
Ivy,40,Lieutenant,54338,EXPRESS VAN 610,New-York,"(39.7392, -104.9903)",9
Mattie,39,Data-Scientist,79662,ENVISTA 9BQB1,New-Jersey,"(42.3601, -71.0589)",4
Ivy,38,Lieutenant,151599,CAMARO A1BC COUPE,Michigan,"(33.4484, -112.0740)",6
David,54,Diesil-Mechanic,160847,SAVANA VAN 610,Maine,"(41.8781, -87.6298)",9
Garrett,28,Engineer,67460,SPARK M2JC,Illinois,"(25.7617, -80.1918)",9
Alice,51,Artist,73497,ENCORE G1UB,New-Hampshire,"(40.7128, -74.0060)",9
Eva,42,Diesil-Mechanic,234359,SILVERADO T1ECH HD DBL,New-Hampshire,"(29.7604, -95.3698)",6
Mattie,53,Teacher,312148,SILVERADO EV BT1CC,Washington,"(37.7749, -122.4194)",7
Mattie,46,Nurse,201887,ENCORE GX 9BUB,New-Hampshire,"(41.8781, -87.6298)",0
Ivy,44,Artist,151754,CT4 A2SL,Maine,"(40.7128, -74.0060)",5
Alice,47,Designer,83512,TERRAIN D2UG,Texas,"(40.7128, -74.0060)",0
Ivy,31,Teacher,264265,CAMARO A1AC CONV,Texas,"(29.7604, -95.3698)",1
Levi,23,Accountant,215273,SIERRA T1CGH HD CREW,Michigan,"(34.0522, -118.2437)",2
Garrett,60,Lieutenant,371170,SIERRA T1RGF LD REG,Hawaii,"(37.7749, -122.4194)",7
Mattie,59,Chef,307739,SILVERADO EV BT1CC,Texas,"(40.7128, -74.0060)",9
Levi,58,Driver,361147,SIERRA T1EGF LD DBL,New-Jersey,"(37.7749, -122.4194)",1
Frank,43,Chef,296552,COLORADO 31CC2,Oregon,"(34.0522, -118.2437)",9
Max,51,Designer,328894,SILVERADO T1ECH HD DBL,Alaska,"(42.3601, -71.0589)",1
Bailie,20,Doctor,308665,LCF GAS-US I-700N,Wyoming,"(34.0522, -118.2437)",2
Charlie,48,Data-Engineer,146651,TRAX-K G1UC,Illinois,"(41.8781, -87.6298)",6
Mattie,27,Artist,386083,SILVERADO T1CCH HD CREW,Indiana,"(37.7749, -122.4194)",4
David,46,Engineer,317020,CAMARO A1AC CONV,New-Jersey,"(42.3601, -71.0589)",2
Alice,29,Lawyer,277832,TRAVERSE C1YC2,Texas,"(29.7604, -95.3698)",9
Bailie,31,Data-Scientist,303550,TRAILBLAZER 9BYC,Hawaii,"(25.7617, -80.1918)",9
Garrett,21,Police-Officer,348086,SILVERADO T1ECF LD DBL,Massachusetts,"(40.7128, -74.0060)",7
Levi,28,Accountant,296683,SILVERADO T1CCH HD CREW,Wyoming,"(42.3601, -71.0589)",1
Ivy,24,Data-Engineer,44235,CAMARO A1AC CONV,New-Mexico,"(47.6062, -122.3321)",1
Mattie,40,Lieutenant,373846,AV A110,Michigan,"(47.6062, -122.3321)",7
David,23,Teacher,256420,SILVERADO T1ECH HD DBL,New-Hampshire,"(33.4484, -112.0740)",0
Levi,32,Chef,83237,SUBURBAN T1YCF,Wyoming,"(42.3601, -71.0589)",8
Max,40,Engineer,168437,CT5 A2LL,Alaska,"(39.7392, -104.9903)",9
Garrett,30,Chef,393900,CANYON 31CG2,Hawaii,"(39.7392, -104.9903)",9
Bailie,31,Data-Scientist,381474,SILVERADO T1ECH HD DBL,Alaska,"(33.4484, -112.0740)",8
Jack,24,Accountant,249890,SIERRA T1CGH HD CREW,Montana,"(37.7749, -122.4194)",3
Eva,32,Artist,325197,BOLT EUV C121,Maine,"(37.7749, -122.4194)",7
Jack,39,Lieutenant,137288,LYRIQ L233,Hawaii,"(42.3601, -71.0589)",3
Alice,20,Nurse,75485,ENVISTA 9BQB1,Montana,"(33.4484, -112.0740)",1
Frank,26,Data-Scientist,153746,SIERRA T1EGH HD DBL,New-York,"(47.6062, -122.3321)",8
Bailie,48,Software-Developer,425691,CAMARO A1AC CONV,New-Mexico,"(37.7749, -122.4194)",4
Grace,26,Accountant,147338,TAHOE T1UCF,Wyoming,"(40.7128, -74.0060)",9
Bob,22,Artist,33037,XT6 C1TL,New-Hampshire,"(41.8781, -87.6298)",8
Eva,60,Chef,314845,SAVANA VAN 610,Washington,"(41.8781, -87.6298)",3
Max,26,Doctor,390372,BOLT C110,Hawaii,"(33.4484, -112.0740)",7
Charlie,25,Lawyer,249852,SPARK M2JC,Massachusetts,"(29.7604, -95.3698)",4
Levi,41,Software-Developer,163174,CANYON 31XGN,Arizona,"(41.8781, -87.6298)",7
Frank,43,Data-Scientist,270390,CANYON 31XGN,Alaska,"(41.8781, -87.6298)",1
Garrett,40,Data-Scientist,316645,XT5 C1UL,Michigan,"(34.0522, -118.2437)",9
Jack,57,Software-Developer,430358,XT4 E2UL,Texas,"(41.8781, -87.6298)",1
Alice,25,Driver,177480,BLAZER C1UC,New-York,"(47.6062, -122.3321)",2
Mattie,49,Lawyer,440332,SIERRA T1RGF LD REG,Washington,"(33.4484, -112.0740)",7
Eva,58,Data-Engineer,155800,XT4 E2UL,Illinois,"(39.7392, -104.9903)",3
Levi,41,Lawyer,235236,SILVERADO 4500/5500,New-Mexico,"(42.3601, -71.0589)",6
Garrett,20,Diesil-Mechanic,288065,ENCORE G1UB,Alaska,"(34.0522, -118.2437)",3
David,37,Nurse,73759,SIERRA T1RGH HD REG,Alaska,"(47.6062, -122.3321)",5
Grace,20,Artist,424666,SILVERADO T1RCF LD REG,Maine,"(39.7392, -104.9903)",9
Mattie,20,Data-Scientist,314718,SILVERADO T1RCH HD REG,New-Mexico,"(41.8781, -87.6298)",2
Bob,39,Designer,55917,CT5 A2LL,New-York,"(33.4484, -112.0740)",0
Ivy,22,Data-Scientist,176839,SILVERADO T1CCH HD CREW,Massachusetts,"(41.8781, -87.6298)",3
Max,34,Data-Scientist,164276,ACADIA C1UG,Massachusetts,"(41.8781, -87.6298)",1
Helen,45,Police-Officer,167719,CT5 A2LL,Washington,"(25.7617, -80.1918)",9
Eva,34,Designer,163222,HUM BEV BT1UG,Massachusetts,"(40.7128, -74.0060)",5
Grace,51,Nurse,31433,SIERRA T1EGF LD DBL,Alaska,"(34.0522, -118.2437)",1
Bailie,23,Designer,133903,SILVERADO T1RCH HD REG,Michigan,"(39.7392, -104.9903)",3
Bob,59,Accountant,284371,ENVISION E2UB,New-Hampshire,"(39.7392, -104.9903)",0
Jack,60,Lieutenant,132344,ACADIA C1UG,Michigan,"(40.7128, -74.0060)",8
Garrett,28,Doctor,127273,ESCALADE ESV T1YLF,Montana,"(34.0522, -118.2437)",1
Charlie,40,Driver,416092,SIERRA T1CGH HD CREW,New-Jersey,"(33.4484, -112.0740)",9
Mattie,60,Accountant,169079,XT4 E2UL,New-York,"(29.7604, -95.3698)",6
Eva,31,Data-Engineer,377254,CAMARO A1AC CONV,New-Hampshire,"(39.7392, -104.9903)",1
Frank,47,Nurse,362131,ENVISION E2UB,Arizona,"(33.4484, -112.0740)",3
David,24,Diesil-Mechanic,366261,ESCALADE T1ULF,Hawaii,"(29.7604, -95.3698)",7
Alice,26,Data-Engineer,361509,SILVERADO T1CCH HD CREW,Washington,"(34.0522, -118.2437)",2
Eva,20,Accountant,223572,ACADIA C1UG,Maine,"(39.7392, -104.9903)",7
Bailie,47,Software-Developer,197581,LCF 6500XD I-700N,Washington,"(40.7128, -74.0060)",0
Grace,30,Accountant,245804,HUM BEV BT1UG,Maine,"(39.7392, -104.9903)",9
Jack,37,Police-Officer,142876,SIERRA T1RGH HD REG,Michigan,"(33.4484, -112.0740)",1
Frank,45,Diesil-Mechanic,119774,XT6 C1TL,Alaska,"(39.7392, -104.9903)",3
Jack,52,Engineer,142218,SILVERADO T1CCH HD CREW,Montana,"(40.7128, -74.0060)",6
David,24,Mechanic,223123,BLAZER EV C234,New-Jersey,"(29.7604, -95.3698)",2
Levi,24,Software-Developer,96254,CT5 A2LL,New-Mexico,"(34.0522, -118.2437)",4
Levi,32,Mechanic,59254,CORVETTE Y200,Wyoming,"(37.7749, -122.4194)",9
Eva,42,Accountant,257265,CAMARO A1BC COUPE,Illinois,"(42.3601, -71.0589)",2
Ivy,41,Accountant,365790,SILVERADO T1ECH HD DBL,Indiana,"(42.3601, -71.0589)",5
Ivy,33,Data-Engineer,415446,YUKON T1UGF,Wyoming,"(34.0522, -118.2437)",8
Jack,50,Driver,306666,SIERRA T1CGH HD CREW,Montana,"(34.0522, -118.2437)",4
Ivy,36,Nurse,359296,LCF GAS-US I-700N,Michigan,"(29.7604, -95.3698)",2
Helen,43,Teacher,169618,CANYON 31XGN,Montana,"(41.8781, -87.6298)",8
Alice,41,Chef,277066,EQUINOX D2UC,Illinois,"(34.0522, -118.2437)",0
Bob,43,Software-Developer,40738,XT4 E2UL,Montana,"(41.8781, -87.6298)",7
Mattie,58,Lawyer,185784,TERRAIN D2UG,Michigan,"(33.4484, -112.0740)",4
Frank,55,Teacher,288153,SILVERADO T1CCF LD CREW,New-York,"(37.7749, -122.4194)",2
Alice,33,Lieutenant,346061,LCF GAS-US I-700N,Alaska,"(41.8781, -87.6298)",9
Frank,22,Driver,428081,AV A110,Michigan,"(42.3601, -71.0589)",1
Grace,20,Nurse,151120,ENVISTA 9BQB1,Montana,"(39.7392, -104.9903)",2
David,56,Software-Developer,414225,ENCORE G1UB,New-York,"(37.7749, -122.4194)",8
Ivy,34,Data-Engineer,231668,MALIBU E2SC,New-Hampshire,"(42.3601, -71.0589)",1
Alice,36,Accountant,319759,ENCLAVE C1YB,New-York,"(42.3601, -71.0589)",7
Ivy,24,Chef,272931,TRAILBLAZER 9BYC,New-York,"(47.6062, -122.3321)",2
Frank,22,Accountant,281760,TAHOE T1UCF,Oregon,"(39.7392, -104.9903)",7
Ivy,41,Mechanic,78823,TERRAIN D2UG,Oregon,"(41.8781, -87.6298)",6
Bob,44,Driver,88239,SIERRA T1EGH HD DBL,Massachusetts,"(42.3601, -71.0589)",5
Eva,36,Police-Officer,442587,TRAILBLAZER 9BYC,Washington,"(39.7392, -104.9903)",1
Eva,42,Data-Engineer,101176,BOLT EUV C121,Montana,"(29.7604, -95.3698)",7
Helen,48,Chef,262451,SILVERADO EV BT1CC,Wyoming,"(40.7128, -74.0060)",6
Levi,46,Doctor,285966,BLAZER C1UC,Illinois,"(37.7749, -122.4194)",2
Levi,38,Nurse,171864,EXPRESS VAN 610,Texas,"(34.0522, -118.2437)",7
Jack,30,Mechanic,352801,CT5 A2LL,Oregon,"(29.7604, -95.3698)",5
Frank,57,Doctor,288070,EQUINOX D2UC,New-Jersey,"(37.7749, -122.4194)",2
Alice,24,Designer,335788,SILVERADO EV BT1CC,Hawaii,"(40.7128, -74.0060)",4
Alice,60,Teacher,402752,LCF GAS-US I-700N,New-Mexico,"(29.7604, -95.3698)",6
Levi,28,Doctor,117076,TRAX-K G1UC,Alaska,"(29.7604, -95.3698)",0
Mattie,24,Doctor,218000,SIERRA T1EGH HD DBL,Alaska,"(39.7392, -104.9903)",8
Frank,52,Artist,436969,TRAX 9BQC1,Oregon,"(40.7128, -74.0060)",5
Eva,49,Accountant,402148,SILVERADO T1ECH HD DBL,Massachusetts,"(40.7128, -74.0060)",2
Eva,60,Diesil-Mechanic,425459,EQUINOX D2UC,Illinois,"(41.8781, -87.6298)",5
Max,26,Mechanic,62050,EXPRESS VAN 610,Montana,"(34.0522, -118.2437)",7
Bob,49,Artist,193666,ENVISTA 9BQB1,Massachusetts,"(47.6062, -122.3321)",5
Mattie,59,Engineer,432375,LCF GAS-US I-700N,New-Jersey,"(42.3601, -71.0589)",2
Bailie,32,Driver,401900,EQUINOX D2UC,Washington,"(41.8781, -87.6298)",7
Garrett,32,Driver,441410,TRAX-K G1UC,New-Jersey,"(39.7392, -104.9903)",0
